"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"3843","100611 (3843)","3866","100053 (3866)","1/1/2017 - 3/31/2017, Every day, Daily Average",179,81,394
"3843","100611 (3843)","3867","100546 (3867)","1/1/2017 - 3/31/2017, Every day, Daily Average",558,400,777
"3843","100611 (3843)","3868","100065 (3868)","1/1/2017 - 3/31/2017, Every day, Daily Average",331,201,542
"3843","100611 (3843)","3869","100613 (3869)","1/1/2017 - 3/31/2017, Every day, Daily Average",108,47,246
"3843","100611 (3843)","3870","100121 (3870)","1/1/2017 - 3/31/2017, Every day, Daily Average",591,396,880
"3843","100611 (3843)","3871","406711 (3871)","1/1/2017 - 3/31/2017, Every day, Daily Average",1724,1332,2230
"3843","100611 (3843)","3872","100445 (3872)","1/1/2017 - 3/31/2017, Every day, Daily Average",1048,829,1323
"3843","100611 (3843)","3873","100601 (3873)","1/1/2017 - 3/31/2017, Every day, Daily Average",122,68,218
"3843","100611 (3843)","3874","100124 (3874)","1/1/2017 - 3/31/2017, Every day, Daily Average",427,284,640
"3843","100611 (3843)","3875","100603 (3875)","1/1/2017 - 3/31/2017, Every day, Daily Average",221,137,356
"3843","100611 (3843)","3876","100424 (3876)","1/1/2017 - 3/31/2017, Every day, Daily Average",1132,898,1425
"3843","100611 (3843)","3878","100412 (3878)","1/1/2017 - 3/31/2017, Every day, Daily Average",1198,942,1522
"3843","100611 (3843)","3879","100532 (3879)","1/1/2017 - 3/31/2017, Every day, Daily Average",646,477,873
"3843","100611 (3843)","3880","100604 (3880)","1/1/2017 - 3/31/2017, Every day, Daily Average",290,191,440
"3843","100611 (3843)","3881","100612 (3881)","1/1/2017 - 3/31/2017, Every day, Daily Average",68,33,137
"3843","100611 (3843)","3882","100062 (3882)","1/1/2017 - 3/31/2017, Every day, Daily Average",276,173,438
"3843","100611 (3843)","3883","100064 (3883)","1/1/2017 - 3/31/2017, Every day, Daily Average",370,234,584
"3843","100611 (3843)","3884","406704 (3884)","1/1/2017 - 3/31/2017, Every day, Daily Average",1533,1135,2069
"3843","100611 (3843)","3886","100414 (3886)","1/1/2017 - 3/31/2017, Every day, Daily Average",1209,961,1520
"3843","100611 (3843)","3887","508599 (3887)","1/1/2017 - 3/31/2017, Every day, Daily Average",2627,2311,2985
"3843","100611 (3843)","3888","100502 (3888)","1/1/2017 - 3/31/2017, Every day, Daily Average",699,527,926
"3843","100611 (3843)","3889","100482 (3889)","1/1/2017 - 3/31/2017, Every day, Daily Average",726,549,958
"3843","100611 (3843)","3890","100132 (3890)","1/1/2017 - 3/31/2017, Every day, Daily Average",527,346,801
"3843","100611 (3843)","3891","100417 (3891)","1/1/2017 - 3/31/2017, Every day, Daily Average",1221,1005,1483
"3843","100611 (3843)","3893","100463 (3893)","1/1/2017 - 3/31/2017, Every day, Daily Average",963,740,1252
"3843","100611 (3843)","3894","100483 (3894)","1/1/2017 - 3/31/2017, Every day, Daily Average",791,599,1044
"3843","100611 (3843)","3895","100605 (3895)","1/1/2017 - 3/31/2017, Every day, Daily Average",350,239,512
"3843","100611 (3843)","3898","100123 (3898)","1/1/2017 - 3/31/2017, Every day, Daily Average",453,293,698
"3843","100611 (3843)","3899","406702 (3899)","1/1/2017 - 3/31/2017, Every day, Daily Average",1495,1078,2071
"3843","100611 (3843)","3900","100551 (3900)","1/1/2017 - 3/31/2017, Every day, Daily Average",386,264,563
"3843","100611 (3843)","3901","100602 (3901)","1/1/2017 - 3/31/2017, Every day, Daily Average",175,97,315
"3843","100611 (3843)","3903","100442 (3903)","1/1/2017 - 3/31/2017, Every day, Daily Average",892,694,1145
"3843","100611 (3843)","3906","100444 (3906)","1/1/2017 - 3/31/2017, Every day, Daily Average",1014,791,1298
"3843","100611 (3843)","3908","100066 (3908)","1/1/2017 - 3/31/2017, Every day, Daily Average",315,204,484
"3843","100611 (3843)","3909","100126 (3909)","1/1/2017 - 3/31/2017, Every day, Daily Average",345,226,524
"3843","100611 (3843)","3912","100552 (3912)","1/1/2017 - 3/31/2017, Every day, Daily Average",437,297,642
"3843","100611 (3843)","3915","100774 (3915)","1/1/2017 - 3/31/2017, Every day, Daily Average",286,168,485
"3843","100611 (3843)","3916","100423 (3916)","1/1/2017 - 3/31/2017, Every day, Daily Average",1085,855,1375
"3843","100611 (3843)","3917","100553 (3917)","1/1/2017 - 3/31/2017, Every day, Daily Average",463,322,664
